iter	Passed	Remaining
0	36	3589
1	42	2103
2	48	1569
3	53	1294
4	59	1128
5	64	1009
6	69	922
7	75	865
8	80	811
9	85	773
10	88	712
11	93	684
12	94	633
13	100	620
14	106	604
15	107	565
16	112	550
17	118	539
18	119	507
19	124	497
20	125	472
21	131	464
22	136	457
23	141	448
24	146	439
25	151	431
26	157	425
27	163	419
28	168	412
29	174	407
30	179	400
31	185	394
32	190	386
33	194	378
34	199	371
35	205	365
36	210	358
37	215	351
38	220	344
39	225	338
40	230	332
41	235	325
42	241	319
43	246	313
44	251	307
45	257	302
46	262	296
47	267	290
48	273	284
49	278	278
50	283	272
51	287	265
52	292	259
53	297	253
54	302	247
55	308	242
56	313	236
57	318	230
58	322	224
59	327	218
60	333	212
61	338	207
62	344	202
63	349	196
64	355	191
65	360	185
66	366	180
67	371	175
68	377	169
69	381	163
70	387	158
71	392	152
72	397	147
73	403	141
74	408	136
75	414	130
76	419	125
77	424	119
78	429	114
79	434	108
80	438	102
81	443	97
82	448	91
83	453	86
84	458	80
85	462	75
86	467	69
87	472	64
88	476	58
89	481	53
90	485	48
91	491	42
92	496	37
93	501	32
94	507	26
95	512	21
96	517	15
97	521	10
98	526	5
99	530	0
